Wavelength,AbsorptionRate,Transmission,OpticalDensity,Material
364,0.952535413,83.09659721,36.31395587,ITO
365,0.950388035,83.44555495,54.54235504,ITO
366,0.94765024,83.844664,60.320491,ITO
367,0.943783704,84.25015981,58.40557022,ITO
368,0.939917169,84.6157888,61.29649065,ITO
369,0.936050634,84.90374967,65.09861872,ITO
370,0.932184099,85.11486777,72.63522108,ITO
371,0.927845626,85.26099622,52.14861404,ITO
372,0.922367993,85.35398902,39.3995656,ITO
373,0.916890361,85.40570011,49.27589349,ITO
374,0.911412728,85.4267246,60.45366731,ITO
375,0.905935096,85.42115901,56.81437387,ITO
376,0.900103249,85.39100902,62.47480442,ITO
377,0.893164479,85.33827934,47.80687064,ITO
378,0.88622571,85.26497465,43.44405752,ITO
379,0.879286941,85.17309966,59.39799757,ITO
380,0.872348171,85.06465907,75.46807885,ITO
381,0.865164496,84.94165756,65.39901628,ITO
382,0.85694964,84.80634992,52.9185883,ITO
383,0.848734784,84.66256496,36.89841939,ITO
384,0.840519927,84.5147424,45.76454128,ITO
385,0.832305071,84.36732331,49.90504774,ITO
386,0.823939733,84.22474874,59.78409016,ITO
387,0.814660753,84.09145976,51.79109979,ITO
388,0.805381773,83.97189743,44.71582717,ITO
389,0.796102793,83.86960932,48.16434053,ITO
390,0.786823814,83.78141844,49.30062167,ITO
391,0.77746899,83.70108581,52.20167872,ITO
392,0.767355725,83.62235693,50.32006709,ITO
393,0.757242461,83.5389773,54.68482584,ITO
394,0.747129197,83.44469244,68.98820097,ITO
395,0.737015933,83.33324785,62.58413271,ITO
396,0.72687859,83.19838903,42.88538293,ITO
397,0.716169388,83.03389007,47.58596504,ITO
398,0.705460187,82.83798406,49.65966047,ITO
399,0.694750985,82.61816222,38.26314688,ITO
400,0.684041784,82.38306796,41.11922305,ITO
401,0.673332582,82.14134472,62.9282669,ITO
402,0.662268749,81.90163594,63.77927487,ITO
403,0.651201297,81.67257051,56.96031388,ITO
404,0.640133845,81.45859019,54.7599473,ITO
405,0.629066393,81.25418106,63.08872397,ITO
406,0.617998941,81.0523816,74.23691294,ITO
407,0.606809638,80.84623029,57.07893971,ITO
408,0.595612474,80.6287656,69.42597543,ITO
409,0.584415309,80.39366199,59.5916746,ITO
410,0.573218145,80.14296814,63.45734933,ITO
411,0.56202098,79.88464099,58.56637559,ITO
412,0.550896945,79.62676137,43.71632107,ITO
413,0.539782052,79.37741013,36.61916207,ITO
414,0.528667158,79.14434308,44.94303695,ITO
415,0.517552264,78.93030993,46.83438914,ITO
416,0.506437371,78.73413204,49.35458661,ITO
417,0.49555025,78.55452536,49.51474503,ITO
418,0.484707038,78.39020581,51.08850537,ITO
419,0.473863826,78.23988933,57.35885485,ITO
420,0.463020614,78.10229186,43.16015177,ITO
421,0.452177402,77.97612932,44.91825664,ITO
422,0.441676194,77.86011766,62.25809217,ITO
423,0.431267064,77.75297279,58.450169,ITO
424,0.420857934,77.65341067,47.64033821,ITO
425,0.410448804,77.56014722,55.36595417,ITO
426,0.400039674,77.47189837,54.55632056,ITO
427,0.390048405,77.38738006,49.45712027,ITO
428,0.380205963,77.30530822,54.46861967,ITO
429,0.370363522,77.22439878,58.54239531,ITO
430,0.36052108,77.14336769,64.45018095,ITO
431,0.350678638,77.06132496,52.03442476,ITO
432,0.341295257,76.97915996,49.7718983,ITO
433,0.332121153,76.89826396,45.5394612,ITO
434,0.322947048,76.82002827,55.33852594,ITO
435,0.313772944,76.74584419,57.22455967,ITO
436,0.30459884,76.67710302,41.95767301,ITO
437,0.295895237,76.61519607,54.08714299,ITO
438,0.287460492,76.56151466,55.10667851,ITO
